ProbeID,GeneSymbol,EntrezID,logFC,AveExpr,t,PValue,adjPVal,B,ProbeID1,logFC1,AveExpr1,t1,PValue1,adjPVal1
205489_at,CRYM,1428,-1.407055197,5.513822233,-3.596955058,0.000662875,0.301678498,-0.564840143,205489_at,-0.177370877,5.513822233,-0.372935531,0.710573236,0.999925658
232724_at,MS4A6A,64231,0.215209877,2.662268322,3.59528897,0.000666353,0.301678498,-0.568956625,232724_at,-0.009953045,2.662268322,-0.134955761,0.893120069,0.999925658
226609_at,DCBLD1,285761,-0.477358579,2.781745769,-3.591724869,0.000673852,0.301678498,-0.577758936,226609_at,-0.098445236,2.781745769,-0.620447894,0.537424325,0.999925658
212119_at,RHOQ,23433,0.486497046,7.705840142,3.582563464,0.0006935,0.301678498,-0.600361914,212119_at,0.117147905,7.705840142,0.733885055,0.46601285,0.999925658
231325_at,UNC5D,137970,-0.56153464,3.549495633,-3.582394969,0.000693867,0.301678498,-0.600777312,231325_at,-0.090505623,3.549495633,-0.476633747,0.635436628,0.999925658
228194_s_at,SORCS1,114815,-0.592375094,3.396522636,-3.579807076,0.000699518,0.301678498,-0.607155943,228194_s_at,-0.026057843,3.396522636,-0.130390989,0.89671404,0.999925658
204060_s_at,PRKX /// PRKY,5613 /// 5616,0.36725302,3.474838851,3.577104899,0.000705466,0.301678498,-0.613813423,204060_s_at,0.208226576,3.474838851,1.725454938,0.089838375,0.999925658
206280_at,CDH18,1016,-0.994524734,3.781485387,-3.571400013,0.000718181,0.301678498,-0.627859259,206280_at,-0.319586294,3.781485387,-0.952694895,0.344748575,0.999925658
204472_at,GEM,2669,1.03450848,4.442263518,3.566615441,0.000729013,0.301678498,-0.639629199,204472_at,0.718641557,4.442263518,2.064883628,0.043472009,0.999925658
37796_at,SAP25,100316904,0.144011277,2.17903306,3.566414542,0.000729471,0.301678498,-0.640123206,37796_at,0.102256999,2.17903306,2.161261206,0.034869747,0.999925658
235939_at,---,---,-0.216472057,3.437043678,-3.563699269,0.000735691,0.301678498,-0.646798426,235939_at,-0.023699817,3.437043678,-0.323083645,0.747808652,0.999925658
219694_at,FAM105A,54491,0.241409898,2.561999573,3.562821378,0.000737713,0.301678498,-0.648955999,219694_at,0.082116803,2.561999573,1.008909482,0.317261975,0.999925658
202679_at,NPC1,4864,0.938629381,6.62036298,3.559356799,0.000745743,0.301678498,-0.657467802,202679_at,0.274798553,6.62036298,0.87157199,0.387081218,0.999925658
239275_at,FRMPD2 /// FRMPD2B,143162 /// 728798,-0.33659601,3.387426593,-3.558258102,0.000748307,0.301678498,-0.660166083,239275_at,-0.123088481,3.387426593,-1.121588219,0.266718483,0.999925658
206290_s_at,RGS7,6000,-1.206256448,5.933872567,-3.555124606,0.000755666,0.301678498,-0.667858947,206290_s_at,-0.286434083,5.933872567,-0.700189172,0.486644042,0.999925658
239738_at,DACH2,117154,-0.774848003,3.397969989,-3.554181476,0.000757895,0.301678498,-0.670173597,239738_at,-0.306075102,3.397969989,-1.16748176,0.247853857,0.999925658
230962_at,DCLK1,9201,-1.198441539,4.908755585,-3.551109106,0.000765198,0.301678498,-0.677711391,230962_at,-0.04227366,4.908755585,-0.10496101,0.916773509,0.999925658
204151_x_at,AKR1C1,1645,0.910869969,4.84483476,3.55102621,0.000765396,0.301678498,-0.677914718,204151_x_at,0.495851477,4.84483476,1.651958422,0.104016336,0.999925658
227155_at,LMO4,8543,-0.859194262,4.205658171,-3.550207097,0.000767354,0.301678498,-0.679923672,227155_at,-0.183844103,4.205658171,-0.628809033,0.531974287,0.999925658
202085_at,TJP2,9414,0.911988837,7.748655018,3.549891026,0.000768111,0.301678498,-0.680698793,202085_at,0.364003375,7.748655018,1.183490737,0.241504231,0.999925658
225809_at,PARM1,25849,-1.171284228,3.860220093,-3.546819499,0.000775506,0.301678498,-0.68822921,225809_at,-0.343877532,3.860220093,-0.883213713,0.380813475,0.999925658
241398_at,MPPED1,758,-0.79881741,4.270670475,-3.542913411,0.000785007,0.301678498,-0.697800203,241398_at,-0.058274919,4.270670475,-0.212482735,0.832484954,0.999925658
201432_at,CAT,847,0.680862573,6.620859658,3.542473679,0.000786084,0.301678498,-0.698877281,201432_at,0.144389165,6.620859658,0.626742583,0.533318582,0.999925658
235969_at,SCN8A,6334,-0.631676917,3.921256996,-3.542464811,0.000786106,0.301678498,-0.698899001,235969_at,-0.033394617,3.921256996,-0.1538827,0.87824322,0.999925658
213158_at,ZBTB20,26137,0.680118181,7.798559253,3.540768606,0.000790271,0.301678498,-0.703052943,213158_at,0.431055899,7.798559253,1.915750194,0.060394007,0.999925658
219142_at,RASL11B,65997,-0.356748804,2.948711362,-3.538297633,0.000796378,0.301678498,-0.709102176,219142_at,-0.214053974,2.948711362,-1.811315058,0.075337453,0.999925658
210051_at,RAPGEF3,10411,0.453631363,3.79699996,3.534402505,0.000806095,0.301678498,-0.718632883,210051_at,0.178605814,3.79699996,1.209707729,0.23136111,0.999925658
218084_x_at,FXYD5,53827,0.258085983,3.072778442,3.534269527,0.000806429,0.301678498,-0.71895815,218084_x_at,0.036898777,3.072778442,0.43782015,0.66316357,0.999925658
242451_x_at,RPS19,6223,0.246063111,3.527879344,3.532016061,0.000812104,0.301678498,-0.724469058,242451_x_at,0.056914359,3.527879344,0.673801925,0.503147853,0.999925658
205383_s_at,ZBTB20,26137,0.627171038,8.031364776,3.531031201,0.000814596,0.301678498,-0.72687691,205383_s_at,0.000695807,8.031364776,0.003436848,0.997269741,0.999925658
205593_s_at,PDE9A,5152,0.250218226,2.746835747,3.524111303,0.000832314,0.301678498,-0.743784015,205593_s_at,0.067363131,2.746835747,0.820118897,0.415548819,0.999925658
223393_s_at,TSHZ3,57616,-0.425642886,3.264822647,-3.523441034,0.00083405,0.301678498,-0.745420619,223393_s_at,-0.100559166,3.264822647,-0.693532124,0.490779148,0.999925658
223477_s_at,C12orf65,91574,-0.281657697,3.827488427,-3.522768995,0.000835793,0.301678498,-0.74706136,223477_s_at,-0.026175337,3.827488427,-0.269302598,0.788664764,0.999925658
218968_s_at,ZFP64,55734,-0.292075022,4.467413264,-3.522014996,0.000837754,0.301678498,-0.748901984,218968_s_at,-0.20896605,4.467413264,-2.195131086,0.032222229,0.999925658
241954_at,FDFT1,2222,0.68023852,4.217314635,3.519423673,0.000844524,0.301678498,-0.755226015,241954_at,0.076281031,4.217314635,0.330259926,0.742408731,0.999925658
216594_x_at,AKR1C1,1645,0.634023452,3.879050231,3.518582487,0.000846733,0.301678498,-0.757278309,216594_x_at,0.317816977,3.879050231,1.517285126,0.134695952,0.999925658
209201_x_at,CXCR4,7852,0.483427341,2.818808775,3.514413016,0.000857764,0.301678498,-0.767446557,209201_x_at,0.167871733,2.818808775,1.004538963,0.31934462,0.999925658
203041_s_at,LAMP2,3920,0.68820777,7.267604351,3.514252068,0.000858192,0.301678498,-0.767838923,203041_s_at,0.129333802,7.267604351,0.544014402,0.588543399,0.999925658
207753_at,ZNF304,57343,-0.348218002,3.779800067,-3.512916893,0.000861755,0.301678498,-0.771093471,207753_at,0.014616908,3.779800067,0.125778654,0.900347669,0.999925658
203501_at,CPQ,10404,0.472084416,3.706341605,3.511079793,0.00086668,0.301678498,-0.77557029,203501_at,0.280445927,3.706341605,1.790153551,0.078716,0.999925658
218549_s_at,RMDN1,51115,0.271292149,3.26625334,3.509158278,0.00087186,0.301678498,-0.780251337,218549_s_at,0.051491198,3.26625334,0.550072442,0.584408826,0.999925658
208999_at,Sep-08,23176,0.467472803,5.028248293,3.50781183,0.000875507,0.301678498,-0.783530546,208999_at,0.205101883,5.028248293,1.284875125,0.204008609,0.999925658
230973_at,SH2D5,400745,-0.582023106,3.719015913,-3.506738461,0.000878425,0.301678498,-0.786144152,230973_at,0.095303245,3.719015913,0.472380102,0.638450723,0.999925658
214449_s_at,RHOQ,23433,0.478553231,4.262981465,3.504903507,0.000883435,0.301678498,-0.790611085,214449_s_at,0.243246976,4.262981465,1.497313529,0.13980341,0.999925658
205825_at,PCSK1,5122,-1.08666368,4.42640994,-3.504066722,0.000885729,0.301678498,-0.792647658,205825_at,-0.245457477,4.42640994,-0.673883373,0.503096448,0.999925658
