"Study","parent","DataType","Contrast","name","LogFC","size","PValue","AdjPValue"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","PRKX","0.971529268812218","10.9254728393624","2.37441789277746e-13","1.18720894638873e-11"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","PRKX","0.373942111769835","5.44559533785091","9.55814015386846e-08","3.58430255770067e-06"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","PRKX","0.449758875880061","4.27950306438381","3.15244984688175e-06","5.25408307813625e-05"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","PRKX","0.448889222353796","3.97870147742811","8.40211283549628e-06","0.000105026410443704"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","PRKX","0.107408447225244","3.01663646654508","0.000128322339866582","0.000962417548999365"
"MSBB","Frontal Pole","Microarray","AD-NCI","PRKX","0.338258356249999","2.56588297880598","0.000380403984160959","0.00271717131543542"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","PRKX","0.330478728013135","2.56811340987122","0.000648780565380265","0.0027032523557511"
"MSBB","Ant Cingulate","Microarray","AD-NCI","PRKX","0.336972903365385","1.97984462516443","0.00335201036716857","0.0104750323974018"
"MSBB","Inferior Temporal Gyrus","Microarray","AD-NCI","PRKX","0.355720152727274","1.49677083543919","0.0117476932102555","0.0318587817347968"
"MSBB","Amygdala","Microarray","AD-NCI","PRKX","0.628432711571429","1.49677083543919","0.0127435126939187","0.0318587817347968"
"MSBB","Mid Temp Gyrus","Microarray","AD-NCI","PRKX","0.181952648214286","1.32038849133678","0.0225783712312526","0.047820213269976"
"MSBB","Temporal Pole","Microarray","AD-NCI","PRKX","0.198251140109891","1.32038849133678","0.0234598593515022","0.047820213269976"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","PRKX","0.195076824519231","1.32038849133678","0.0248665109003875","0.047820213269976"
"MSBB","Hippocampus","Microarray","AD-NCI","PRKX","0.227022351190475","1.08733336964467","0.0457988588866172","0.081783676583245"
"MSBB","Prefrontal Cortex","Microarray","AD-NCI","PRKX","0.167497603896102","0.855782894676656","0.0836312052592353","0.139385342098725"
"MSBB","Inferior Frontal Gyrus","Microarray","AD-NCI","PRKX","0.218155865034966","0.766806480021082","0.109489757519401","0.171077746124064"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","PTGER1","-0.653661469196134","2.56749123823611","3.6095037585077e-05","0.00270712781888077"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","PTGER1","0.704216746608021","2.03500313007738","0.000369025911183125","0.00922564777957812"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","PTGER1","-0.0418950822648991","1.03253742277739","0.00742254029962603","0.0927817537453254"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","SLC8A2","-0.459751337569557","3.82001264450042","2.536760971018e-06","0.000151351718168417"
