"Entity.1","Entity.2","source","target"
"ACKR2","CCL28",101,151
"ACKR2","CCL14",101,136
"ACKR2","CCL27",101,152
"ACKR2","CCL8",101,114
"ACKR2","CCL3",101,122
"ACKR2","CCL13",101,115
"ACKR2","CCL7",101,117
"ACKR2","CCL21",101,46
"ACKR2","CCL25",101,137
"ACKR2","CCL19",101,48
"ACKR2","CCL11",101,125
"ACKR2","CCL2",101,51
"ACKR2","CCL4",101,53
"ACKR2","CCL5",101,3
"RGS11","GNB5",102,59
"GUCY1B3","GUCY1A2",103,186
"GUCY1A3","GUCY1B3",104,103
"RGS6","GNB4",105,57
"RGS6","GNB3",105,16
"RGS6","GNB5",105,59
"RGS6","GNB2",105,19
"RGS6","GNB1",105,39
"RGS7","GNB5",106,59
"RGS7","GNAI3",106,87
"ACKR1","CCL17",44,127
"ACKR1","CCL8",44,114
"ACKR1","CXCL5",44,129
"ACKR1","CCL7",44,117
"ACKR1","CXCL1",44,131
"ACKR1","CCL2",44,51
"ACKR1","IL8",44,54
"ACKR1","CCL5",44,3
"STAT6","STAT2",107,61
"STAT6","JAK3",107,63
"STAT6","PRKCZ",107,85
"STAT6","NFKBIA",107,31
"STAT6","RELA",107,33
"STAT6","NFKB1",107,40
"BLNK","VAV3",108,179
"BLNK","ITK",108,149
"BLNK","CRKL",108,78
"BLNK","VAV1",108,90
"BLNK","GRB2",108,30
"BLNK","LYN",108,98
"RGS9","GNB5",109,59
"RGS9","GNAT1",109,187
"PRKACB","PRKX",110,188
"ROCK1","ROCK2",75,185
